,id,lon,lat,improvement,category
0,24497974,7.880375999999999,46.29300799999999,228,LA_bikes
2,24499488,9.59191,46.59675999999999,646,LA_bikes
4,24497247,8.78481,46.12211999999999,616,LA_bikes
5,24502555,8.233995,47.14686099999999,1008,LA_bikes
6,23425646,8.633863,47.091373,192,LA_bikes
7,24504155,8.147310000000001,46.3992,1151,LA_bikes
10,24497593,9.557760000000002,46.72802,201,LA_bikes
11,24498464,8.595857999999998,46.919778999999984,175,LA_bikes
12,24496841,9.093869,47.13079899999999,216,LA_bikes
13,24502226,7.452807,47.28434099999999,179,LA_bikes
14,24498597,8.674618,47.10561,118,LA_bikes
15,24498382,8.310339999999998,47.050549999999994,343,LA_bikes
