,id,lon,lat,improvement,category
0,24502675,8.308063999999998,47.47636899999999,248,LA_hikes
2,24501793,8.786363999999999,46.34956299999998,33,LA_hikes
3,24504417,7.701256,47.18803299999999,50,LA_hikes
4,24501170,8.640421,47.10423899999998,40,LA_hikes
5,24504281,7.3754219999999995,46.944154999999995,218,LA_hikes
7,23418027,9.10428,47.19306999999998,1259,LA_hikes
8,24499620,8.855929999999997,46.705429999999986,117,LA_hikes
9,24501542,9.318292,47.25615,248,LA_hikes
11,41669360,9.493024999999998,47.47877699999999,368,LA_hikes
12,62546081,8.188881,46.972025,678,LA_hikes
13,24501547,9.393215,47.29341399999999,2500,LA_hikes
14,50189498,9.659751,47.400861,27,LA_hikes
15,53666076,8.97397,46.188675,261,LA_hikes
16,24500286,7.573624,46.17622699999998,325,LA_hikes
18,24500204,8.8455,46.69678999999999,673,LA_hikes
